"SecondarySubjectID","EnrollmentType","Q5_I had a strong interest in taking this course:_I had a strong interest in taking this course:","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter.","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._Learning outcomes for the course were clearly stated._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The learning outcomes were effectively addressed in the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._There were constructive interactions between the instructor and the students._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The instructor was accessible for discussions about the course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._I received feedback that improved my learning in this course._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._The course challenged me to do my best work._Comments_QPResp","Q6_For instructor:  [C$FN] [C$LN]Please MARK the response which MOST ACCURATELY reflects your opinion and include any comments or explanations to the following questions._My experience in the course increased my interest in the subject matter._Comments_QPResp","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course.","Q7_For instructor:  <b>[C$FN] [C$LN]</b>_How would you rate the overall effectiveness of the instruction in this course._Comments_QPResp","Q8_For instructor:  [C$FN] [C$LN]What did you find to be most beneficial about the course?","Q9_For instructor:  [C$FN] [C$LN]What would have made this course more effective for you?"
"jcolem27","System","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Agree","Strongly Agree","D/A","D/A","D/A","D/A","I wish there were small comments attached to the midterm about mistakes","D/A","I genuinely really enjoyed learning about algorithms, I was never really good at coding but I enjoy conceptual knowledge about Computer Science","Very Good","D/A","Genuinely loved the class, the reviews of previous class's content were incredibly helpful. Will definitely remember this knowledge going forward","N/A"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Overview of algorithms, how to formalize a problem in different ways (e.g. Maze Pathfinder, A* Search, Map Coloring...)","Having some sort of recorded lectures to go back on to understand a topic that I didn't understood the first time around or the recap, especially when doing homeworks & classworks"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Professor Coleman was a very passionate instructor ","The ability to print out a cheat sheet"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Numerous examples done with the professor during class. Thoroughly thought-out explanations for algorithms and all the specificities of how they work, along with scenarios for when they are used. Additionally, the review sessions held at the start of class were beneficial for memorization and understanding.","D/A"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","Wared Woleman","Encouraging class participation and also consistently reviewing the previous class's material to begin the next class were super super helpful in getting the algorithms ingrained in my head.","kill post-commit quiz!"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Walking through algorithms on the board and allowing us to ask questions about it as he goes.","In class assignments."
"jcolem27","System","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","The lectures were in depth, helped me learn.","Reduce length of reiterating previous lectures"
"jcolem27","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","My favorite professor this semester!","I really enjoyed your teaching style, it really allows us to think about our answers and even if we answer wrong he always builds off of the answer and turns everything into an amazing learning opportunity. Genuinely one of the best professors I have ever had. ","Personally I have no notes but I think that if we could spend a little more time going over the smaller algorithms that would have helped a bit. 
"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","I liked that you didn't just code and expect us to watch, that is not a very effective way of learning. ","not having a chalkboard, it was quite hard to see. I think also more feedback on the homeworks. "
"jcolem27","System","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","The Class notes posted on brightspace were very helpful and the review at the start of every class was also very helpful!","All good!"
"jcolem27","System","Uncertain","Uncertain","Uncertain","Agree","Agree","Disagree","Disagree","Uncertain","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Fair","D/A","D/A","D/A"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","Clear and easy ways to receive points in the class. I also like how he recalled previous class info at the beginning of the next class.","not much except maybe going over the classworks in class after they had been submitted."
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","Professor Coleman is amazing with making the class interract with the material. Most of the material you actually learn in classroom and there is not a lot besides homework to do on your own or figure out on your own.","n/a"
"jcolem27","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Very Good","D/A","What I found most beneficial is that we always reviewed the content from the previous class so that it was easy to keep up to speed in the course.","Maybe for each coding assignment leave a comment that shows what could be approved on in the code like how it was in data strucutres."
"jcolem27","System","Uncertain","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","D/A","D/A","D/A","Good","D/A","the lecture style","idk"
